user_id,book,rating
0,0,5
0,1,5
0,2,5
0,3,4
0,4,4
0,5,5
0,6,5
0,7,5
0,8,5
0,9,5
0,10,5
0,11,5
0,12,3
0,13,3
0,14,5
0,15,4
0,16,4
0,17,3
0,18,5
0,19,5
0,20,4
0,21,3
0,22,5
0,23,4
0,24,5
0,25,5
0,26,3
0,27,5
0,28,4
0,29,4
0,30,4
0,31,3
0,32,4
0,33,4
0,34,4
0,35,4
0,36,5
0,37,1
0,38,5
0,39,5
0,40,3
0,41,4
0,42,4
0,43,5
0,44,5
0,45,4
0,46,3
0,47,5
0,48,5
0,49,5
0,50,5
0,51,4
0,52,5
0,53,5
0,54,4
0,55,5
0,56,5
0,57,4
0,58,5
0,59,5
0,60,5
0,61,5
0,62,5
0,63,3
0,64,3
0,65,4
0,66,4
0,67,5
0,68,3
0,69,5
0,70,4
0,71,5
0,72,4
0,73,4
0,74,5
0,75,4
0,76,4
0,77,4
0,78,3
0,79,5
0,80,4
0,81,4
0,82,4
0,83,5
0,84,5
0,85,5
0,86,5
0,87,5
0,88,3
0,89,4
0,90,4
0,91,4
0,92,3
0,93,4
0,94,5
0,95,5
0,96,5
0,97,5
0,98,5
0,99,3
0,100,3
0,101,5
0,102,5
0,103,5
0,104,5
0,105,3
0,106,3
0,107,4
0,108,5
0,109,5
0,110,4
0,111,4
0,112,5
0,113,3
0,114,3
0,115,5
0,116,3
0,117,3
0,118,5
0,119,4
0,120,4
0,121,4
0,122,4
0,123,4
0,124,5
0,125,3
0,126,4
0,127,4
0,128,2
0,129,5
0,130,4
0,131,5
0,132,3
0,133,4
0,134,3
0,135,4
0,136,5
0,137,3
0,138,5
0,139,4
0,140,5
0,141,4
0,142,5
0,143,4
0,144,5
0,145,5
0,146,5
0,147,4
0,148,4
0,149,5
0,150,3
0,151,5
0,152,4
0,153,5
0,154,5
0,155,5
0,156,4
0,157,5
0,158,5
0,159,5
0,160,2
0,161,5
0,162,4
0,163,5
0,164,4
0,165,4
0,166,3
0,167,5
0,168,4
0,169,5
0,170,4
0,171,3
0,172,5
0,173,4
0,174,4
0,175,4
0,176,4
0,177,5
0,178,5
0,179,5
0,180,4
0,181,4
0,182,5
0,183,5
0,184,5
0,185,5
0,186,5
0,187,5
0,188,5
0,189,4
0,190,4
0,191,4
0,192,5
0,193,5
0,194,2
0,195,5
0,196,4
0,197,4
0,198,5
0,199,3
0,200,5
0,201,4
0,202,2
0,203,5
0,204,5
0,205,5
0,206,5
0,207,5
0,208,4
0,209,5
0,210,5
0,211,3
0,212,3
0,213,2
0,214,5
0,215,3
0,216,5
0,217,3
0,218,4
0,219,4
0,220,5
0,221,4
0,222,5
0,223,5
0,224,5
0,225,5
0,226,4
0,227,4
0,228,4
