300,The Kite Runner,5371769974
48,To Kill a Mockingbird,2057515121
198,The Catcher in the Rye,2074234901
210,The Great Gatsby,2074237245
53,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",5302451855
270,1984,2074237329
499,"The Da Vinci Code (Robert Langdon, #2)",5302393044
27,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",5302451844
71,Pride and Prejudice,5370803098
389,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",5302451846
572,Memoirs of a Geisha,2001539782
1381,Slaughterhouse-Five,2058616917
290,The Adventures of Huckleberry Finn,2054580918
402,Life of Pi,5302451867
5,"The Hunger Games (The Hunger Games, #1)",2034516520
1168,Middlesex,5301861219
112,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",2031664542
307,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",5370984717
336,Lord of the Flies,2073230045
424,Of Mice and Men,5372583172
441,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",2067468497
409,The Alchemist,5302450374
478,The Time Traveler's Wife,5370892193
565,Me Talk Pretty One Day,2027575486
606,The Curious Incident of the Dog in the Night-Time,2036701879
448,"Ender's Game (Ender's Saga, #1)",2046497196
1322,Animal Farm,2030796574
365,The Tipping Point: How Little Things Can Make a Big Difference,2070593595
321,One Hundred Years of Solitude,2073233891
355,"Catching Fire (The Hunger Games, #2)",2036828926
2114,The Lovely Bones,2041192564
25,"The Girl with the Dragon Tattoo (Millennium, #1)",2020798766
394,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",2054231217
31,"Mockingjay (The Hunger Games, #3)",2036828904
1347,Brave New World,2031111469
965,The Help,2031376116
902,"Twilight (Twilight, #1)",2032631086
1226,Gone Girl,2049248491
500,Jane Eyre,2074238221
2319,The Secret Life of Bees,2049552864
29,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,5371155050
212,The Grapes of Wrath,2075720701
728,Lolita,2031065677
1500,Love in the Time of Cholera,2074238622
1587,A Confederacy of Dunces,2020348274
414,A Thousand Splendid Suns,5371704095
98,Where the Sidewalk Ends,2033173068
563,"Eat, Pray, Love",2002874717
1070,The Red Tent,2063651092
1124,A Prayer for Owen Meany,2049552864
1202,Bel Canto,5372434732
23,"Angels & Demons (Robert Langdon, #1)",5370803194
1240,The Glass Castle,2060221260
158,"The Hobbit, or There and Back Again",5301766191
382,Blink: The Power of Thinking Without Thinking,2045537925
386,The Fountainhead,2043837342
1212,The Road,5371851541
1270,Crime and Punishment,2075755954
3926,"The Handmaid's Tale (The Handmaid's Tale, #1)",2071387873
252,The Odyssey,2042630798
1196,"The Giver (The Giver, #1)",2046203786
1307,The Book Thief,5372578207
2377,The Namesake,2053616914
3425,Wuthering Heights,2074238776
349,All the Light We Cannot See,2053616477
371,The Sun Also Rises,2075755669
2507,The Girl on the Train,2053617933
3399,Atonement,5372085937
3411,The Poisonwood Bible,2075720295
4081,"New Moon (Twilight, #2)",5372597152
113,"The Girl Who Played with Fire (Millennium, #2)",2030926373
177,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",2046219214
275,Outliers: The Story of Success,5372434881
623,"The Shadow of the Wind (The Cemetery of Forgotten Books, #1)",2030311164
1143,Anna Karenina,2030689621
2804,Breakfast of Champions,2063419863
359,The Diary of a Young Girl,5301892916
833,Hamlet,2073220186
1530,The Old Man and the Sea,2032848322
1612,The Omnivore's Dilemma: A Natural History of Four Meals,2039613488
2243,Naked,2031380933
4066,"Eclipse (Twilight, #3)",5372597156
248,Heart of Darkness,2046245786
360,Romeo and Juliet,2042631201
4680,In Cold Blood,2067453582
80,Frankenstein,2056674033
564,Gone with the Wind,5302238887
786,Macbeth,2074238582
1002,The Brief Wondrous Life of Oscar Wao,2074076831
88,The Scarlet Letter,5371067128
276,Great Expectations,5300049683
554,The Wind-Up Bird Chronicle,2001540038
3432,Beloved,2002926591
231,Station Eleven,2056987457
263,Catch-22,2075732441
404,A Visit from the Goon Squad,2074076652
471,"The Fellowship of the Ring (The Lord of the Rings, #1)",5301766191
1230,The Fault in Our Stars,2047953351
4064,"Breaking Dawn (Twilight, #4)",5372582858
55,The Giving Tree,2054384422
